avg_log2FC,mean_pct,sample_size,power,avg_log2FC_absolute
-1.476026406,0.125,9,0,1.476026406
-1.476026406,0.125,10,0.01,1.476026406
-0.781268476,0.202,1,0.33,0.781268476
-0.781268476,0.202,2,0.15,0.781268476
-0.781268476,0.202,3,0.06,0.781268476
-0.781268476,0.202,4,0.05,0.781268476
-0.781268476,0.202,5,0.06,0.781268476
-0.781268476,0.202,6,0.07,0.781268476
-0.781268476,0.202,7,0.06,0.781268476
-0.781268476,0.202,8,0.03,0.781268476
-0.781268476,0.202,9,0.02,0.781268476
-0.781268476,0.202,10,0.01,0.781268476
-0.902193585,0.1895,1,0.93,0.902193585
-0.902193585,0.1895,2,0.95,0.902193585
-0.902193585,0.1895,3,0.97,0.902193585
-0.902193585,0.1895,4,0.98,0.902193585
-0.902193585,0.1895,5,0.98,0.902193585
-0.902193585,0.1895,6,0.99,0.902193585
-0.902193585,0.1895,7,1,0.902193585
-0.902193585,0.1895,8,0.99,0.902193585
-0.902193585,0.1895,9,0.99,0.902193585
-0.902193585,0.1895,10,0.99,0.902193585
3.440657634,0.064,1,0.84,3.440657634
3.440657634,0.064,2,0.93,3.440657634
3.440657634,0.064,3,0.97,3.440657634
3.440657634,0.064,4,0.97,3.440657634
3.440657634,0.064,5,0.98,3.440657634
3.440657634,0.064,6,0.99,3.440657634
3.440657634,0.064,7,0.98,3.440657634
3.440657634,0.064,8,0.99,3.440657634
3.440657634,0.064,9,0.98,3.440657634
3.440657634,0.064,10,0.99,3.440657634
1.564218098,0.189,1,0.96,1.564218098
1.564218098,0.189,2,0.98,1.564218098
1.564218098,0.189,3,0.99,1.564218098
1.564218098,0.189,4,0.99,1.564218098
1.564218098,0.189,5,0.99,1.564218098
1.564218098,0.189,6,1,1.564218098
1.564218098,0.189,7,1,1.564218098
1.564218098,0.189,8,1,1.564218098
1.564218098,0.189,9,1,1.564218098
1.564218098,0.189,10,1,1.564218098
-0.952523215,0.1295,1,0.95,0.952523215
-0.952523215,0.1295,2,0.96,0.952523215
-0.952523215,0.1295,3,0.98,0.952523215
-0.952523215,0.1295,4,0.98,0.952523215
-0.952523215,0.1295,5,0.99,0.952523215
-0.952523215,0.1295,6,1,0.952523215
-0.952523215,0.1295,7,0.99,0.952523215
-0.952523215,0.1295,8,0.99,0.952523215
-0.952523215,0.1295,9,1,0.952523215
-0.952523215,0.1295,10,1,0.952523215
-0.09188857,0.213,1,0.81,0.09188857
-0.09188857,0.213,2,0.92,0.09188857
-0.09188857,0.213,3,0.94,0.09188857
-0.09188857,0.213,4,0.96,0.09188857
-0.09188857,0.213,5,0.97,0.09188857
-0.09188857,0.213,6,0.97,0.09188857
-0.09188857,0.213,7,0.99,0.09188857
-0.09188857,0.213,8,0.98,0.09188857
-0.09188857,0.213,9,0.99,0.09188857
-0.09188857,0.213,10,0.99,0.09188857
-0.607992962,0.647,1,0.92,0.607992962
-0.607992962,0.647,2,0.94,0.607992962
-0.607992962,0.647,3,0.98,0.607992962
-0.607992962,0.647,4,0.97,0.607992962
-0.607992962,0.647,5,0.97,0.607992962
-0.607992962,0.647,6,0.98,0.607992962
-0.607992962,0.647,7,0.98,0.607992962
-0.607992962,0.647,8,0.98,0.607992962
-0.607992962,0.647,9,0.99,0.607992962
-0.607992962,0.647,10,1,0.607992962
-2.44687341,0.171,1,0.99,2.44687341
-2.44687341,0.171,2,0.99,2.44687341
-2.44687341,0.171,3,1,2.44687341
-2.44687341,0.171,4,1,2.44687341
-2.44687341,0.171,5,1,2.44687341
-2.44687341,0.171,6,1,2.44687341
-2.44687341,0.171,7,1,2.44687341
-2.44687341,0.171,8,1,2.44687341
-2.44687341,0.171,9,1,2.44687341
-2.44687341,0.171,10,1,2.44687341
-3.218304573,0.0475,1,0.95,3.218304573
-3.218304573,0.0475,2,0.97,3.218304573
-3.218304573,0.0475,3,0.98,3.218304573
-3.218304573,0.0475,4,0.99,3.218304573
-3.218304573,0.0475,5,0.99,3.218304573
-3.218304573,0.0475,6,0.99,3.218304573
-3.218304573,0.0475,7,1,3.218304573
-3.218304573,0.0475,8,1,3.218304573
-3.218304573,0.0475,9,1,3.218304573
-3.218304573,0.0475,10,1,3.218304573
-0.794644851,0.4235,1,0.9,0.794644851
-0.794644851,0.4235,2,0.95,0.794644851
-0.794644851,0.4235,3,0.97,0.794644851
-0.794644851,0.4235,4,0.99,0.794644851
-0.794644851,0.4235,5,0.98,0.794644851
-0.794644851,0.4235,6,0.99,0.794644851
-0.794644851,0.4235,7,0.99,0.794644851
-0.794644851,0.4235,8,0.99,0.794644851
-0.794644851,0.4235,9,0.99,0.794644851
-0.794644851,0.4235,10,0.99,0.794644851
-2.301408288,0.313,1,0.99,2.301408288
-2.301408288,0.313,2,1,2.301408288
-2.301408288,0.313,3,1,2.301408288
-2.301408288,0.313,4,1,2.301408288
-2.301408288,0.313,5,1,2.301408288
-2.301408288,0.313,6,1,2.301408288
-2.301408288,0.313,7,1,2.301408288
-2.301408288,0.313,8,1,2.301408288
-2.301408288,0.313,9,1,2.301408288
-2.301408288,0.313,10,1,2.301408288
-0.489189123,0.43,1,0.9,0.489189123
-0.489189123,0.43,2,0.87,0.489189123
-0.489189123,0.43,3,0.94,0.489189123
-0.489189123,0.43,4,0.93,0.489189123
-0.489189123,0.43,5,0.96,0.489189123
-0.489189123,0.43,6,0.97,0.489189123
-0.489189123,0.43,7,0.97,0.489189123
-0.489189123,0.43,8,0.97,0.489189123
-0.489189123,0.43,9,0.98,0.489189123
-0.489189123,0.43,10,0.98,0.489189123
-0.924965967,0.372,1,0.93,0.924965967
-0.924965967,0.372,2,0.95,0.924965967
-0.924965967,0.372,3,0.97,0.924965967
-0.924965967,0.372,4,0.99,0.924965967
-0.924965967,0.372,5,0.99,0.924965967
-0.924965967,0.372,6,0.99,0.924965967
-0.924965967,0.372,7,0.99,0.924965967
-0.924965967,0.372,8,0.99,0.924965967
-0.924965967,0.372,9,1,0.924965967
-0.924965967,0.372,10,1,0.924965967
-1.207647134,0.2895,1,0.96,1.207647134
-1.207647134,0.2895,2,0.98,1.207647134
-1.207647134,0.2895,3,0.99,1.207647134
-1.207647134,0.2895,4,0.99,1.207647134
-1.207647134,0.2895,5,1,1.207647134
-1.207647134,0.2895,6,1,1.207647134
-1.207647134,0.2895,7,1,1.207647134
-1.207647134,0.2895,8,1,1.207647134
-1.207647134,0.2895,9,1,1.207647134
-1.207647134,0.2895,10,1,1.207647134
-0.732580771,0.7065,1,0.98,0.732580771
-0.732580771,0.7065,2,1,0.732580771
-0.732580771,0.7065,3,1,0.732580771
-0.732580771,0.7065,4,1,0.732580771
-0.732580771,0.7065,5,1,0.732580771
-0.732580771,0.7065,6,1,0.732580771
-0.732580771,0.7065,7,1,0.732580771
-0.732580771,0.7065,8,1,0.732580771
-0.732580771,0.7065,9,1,0.732580771
-0.732580771,0.7065,10,1,0.732580771
-0.934051866,0.3205,1,0.88,0.934051866
-0.934051866,0.3205,2,0.9,0.934051866
-0.934051866,0.3205,3,0.97,0.934051866
-0.934051866,0.3205,4,0.98,0.934051866
-0.934051866,0.3205,5,0.98,0.934051866
-0.934051866,0.3205,6,0.99,0.934051866
-0.934051866,0.3205,7,0.98,0.934051866
-0.934051866,0.3205,8,0.99,0.934051866
-0.934051866,0.3205,9,0.99,0.934051866
-0.934051866,0.3205,10,0.99,0.934051866
-0.430829282,0.9685,1,0.97,0.430829282
-0.430829282,0.9685,2,0.99,0.430829282
-0.430829282,0.9685,3,0.99,0.430829282
-0.430829282,0.9685,4,1,0.430829282
-0.430829282,0.9685,5,0.99,0.430829282
-0.430829282,0.9685,6,1,0.430829282
-0.430829282,0.9685,7,1,0.430829282
-0.430829282,0.9685,8,1,0.430829282
-0.430829282,0.9685,9,1,0.430829282
-0.430829282,0.9685,10,1,0.430829282
-1.114948565,0.0985,1,0.96,1.114948565
-1.114948565,0.0985,2,0.99,1.114948565
-1.114948565,0.0985,3,0.97,1.114948565
-1.114948565,0.0985,4,0.99,1.114948565
-1.114948565,0.0985,5,1,1.114948565
-1.114948565,0.0985,6,1,1.114948565
-1.114948565,0.0985,7,1,1.114948565
-1.114948565,0.0985,8,0.99,1.114948565
